5,-16,-1
13,-19,-1
-10,-7,-1
8,13,1
-2,-17,-1
-10,19,1
0,10,1
-3,-6,-1
-16,8,-1
0,8,1
-18,-16,-1
-13,-19,-1
-18,3,-1
-14,-9,-1
17,-6,1
-12,16,1
-8,17,1
9,0,1
-7,-20,-1
-20,15,1
-13,19,1
-15,-11,-1
-9,-14,-1
3,0,1
6,4,1
0,-16,-1
8,2,1
19,15,1
14,5,1
-17,-18,-1
-13,12,1
-3,-3,-1
-10,8,1
-17,12,1
-18,15,1
7,0,1
3,-4,-1
-13,8,-1
11,2,1
12,17,1
7,15,1
15,7,1
-5,1,-1
-3,-13,-1
-19,-19,-1
-10,10,1
17,8,1
4,-1,1
18,-16,-1
7,6,1
4,-8,-1
0,4,1
17,11,1
1,-17,-1
-5,14,1
7,-9,-1
-6,-2,-1
20,-10,1
16,-15,-1
1,-5,-1
-7,14,1
4,-20,-1
-20,8,-1
-6,-15,-1
-18,-13,-1
-2,18,1
9,-9,-1
-9,2,-1
-10,2,-1
-20,-13,-1
-8,-17,-1
-5,-14,-1
1,-12,-1
8,6,1
-4,-11,-1
-16,11,1
-15,8,-1
-14,-20,-1
-12,-11,-1
8,-7,-1
-16,7,-1
15,16,1
14,-11,-1
18,14,1
-12,-7,-1
3,5,1
12,-18,-1
2,0,1
8,5,1
-16,-1,-1
-7,-15,-1
7,7,1
-7,16,1
1,-13,-1
4,18,1
1,6,1
-8,14,1
12,4,1
11,20,1
-5,15,1
5,-4,-1
-18,18,1
12,11,1
-18,-6,-1
6,2,1
-11,-15,-1
-19,-17,-1
6,3,1
-8,19,1
-1,13,1
-20,12,-1
15,3,1
3,-13,-1
-19,15,1
-9,-8,-1
19,-4,1
13,-17,-1
-4,-6,-1
1,-14,-1
-3,13,1
-11,-12,-1
-9,12,1
11,-18,-1
17,7,1
3,-17,-1
11,-5,1
15,-20,-1
-15,14,1
8,-5,1
18,7,1
-3,10,1
-15,-18,-1
-6,-18,-1
-6,20,1
15,4,1
3,-15,-1
6,7,1
19,11,1
-13,-7,-1
4,4,1
-6,10,1
7,-10,-1
18,-19,-1
-18,-2,-1
-1,-3,-1
-20,-19,-1
-11,16,1
-16,-11,-1
1,-2,-1
1,10,1
0,15,1
13,15,1
-10,-1,-1
16,8,1
-1,-7,-1
-19,-18,-1
-15,5,-1
-2,-18,-1
-12,20,1
-18,10,-1
10,-13,-1
7,-11,-1
7,1,1
-19,-5,-1
-5,4,1
-9,0,-1
4,-10,-1
-3,19,1
-8,9,1
-2,13,1
17,-10,1
18,20,1
13,9,1
-18,9,-1
-6,-17,-1
2,12,1
-20,7,-1
-3,6,1
-3,-12,-1
-17,20,1
-6,13,1
-2,4,1
12,-5,1
11,9,1
-20,-12,-1
19,-17,-1
-16,-6,-1
-5,-3,-1
12,20,1
14,2,1
2,15,1
-18,5,-1
-15,-12,-1
18,4,1
-7,12,1
11,-13,-1
-12,8,1
-19,13,1
-9,-4,-1
-17,-8,-1
